#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	known_domains
#open	2019-02-15-16-26-46
#fields	ts	domain
#types	time	string
1550266479.630181	platform.stumbleupon.com
1550266479.631442	badge.stumbleupon.com
1550266479.631508	widgets.pinterest.com
1550266479.632210	www.linkedin.com
1550266479.632282	delivery.swid.switchads.com
1550266479.632733	adserver.adtech.de
1550266479.633437	1.gravatar.com
1550266479.634132	x2.vindicosuite.com
1550266479.634694	b12.myspace.com
1550266479.634811	adserver.powerlinks.com
1550266479.635384	passets.pinterest.com
1550266479.635480	static.licdn.com
1550266479.635523	cdn.stumble-upon.com
1550266479.635544	fbcdn-profile-a.akamaihd.net
1550266479.636074	adsby.bidtheatre.com
1550266479.636764	support.avg.com
1550266479.636814	free.avg.com
1550266479.637230	forums.avg.com
1550266479.637250	www.avira.com
1550266479.637277	avira.com
1550266479.637283	answers.avira.com
1550266479.637290	analysis.avira.com
1550266479.637306	www.bitdefender.com
1550266479.637314	mono.vizu.com
1550266479.637319	bitdefender.com
1550266479.637325	forum.bitdefender.com
1550266479.637340	labs.bitdefender.com
1550266479.637350	www.eset.com
1550266479.637352	eset.com
1550266479.637377	kb.eset.com
1550266479.637388	forum.eset.com
1550266479.637416	www.gdatasoftware.com
1550266479.637423	ad.atdmt.com
1550266479.637429	gdatasoftware.com
1550266479.637479	www.gdata-software.com
1550266479.637513	shasta.vizu.com
1550266479.637535	cdn.atlassbx.com
1550266479.638027	gdata-software.com
1550266479.638477	www.gdata.de
1550266479.638503	gdata.de
1550266479.638533	www.kaspersky.com
1550266479.638540	kaspersky.com
1550266479.638567	usa.kaspersky.com
1550266479.638569	xumo.vindicosuite.com
1550266479.638580	support.kaspersky.com
1550266479.638622	forum.kaspersky.com
1550266479.638627	blog.kaspersky.com
1550266479.638671	www.symantec.com
1550266479.638674	cache.vindicosuite.com
1550266479.638685	symantec.com
1550266479.638710	fileconnect.symantec.com
1550266479.638716	hopa.vizu.com
1550266479.639092	my.symantec.com
1550266479.639118	entsupport.symantec.com
1550266479.639243	www.norton.com
1550266479.639782	norton.com
1550266479.639794	t.goadservices.com
1550266479.639847	support.norton.com
1550266479.640414	community.norton.com
1550266479.640472	www.mcafee.com
1550266479.640488	mcafee.com
1550266479.640494	secure.mcafee.com
1550266479.640914	home.mcafee.com
1550266479.640923	community.mcafee.com
1550266479.640934	www.trendmicro.com
1550266479.640939	trendmicro.com
1550266479.640956	ver-adt.vindicosuite.com
1550266479.641494	cache.specificmedia.com
1550266479.641598	ip.casalemedia.com
1550266479.641629	image5.pubmatic.com
1550266479.641658	m.goadservices.com
1550266479.643067	0.gravatar.com
1550266479.643219	r.casalemedia.com
1550266479.643331	mpp2.vindicosuite.com
1550266479.643337	c.vindicosuite.com
1550266479.643466	ads.pubmatic.com
1550266480.127036	www.reachwithus.com
1550266480.127107	jaysocial.com
1550266480.127188	ypyitqu.myftp.org
1550266480.127786	connect.facebook.net
1550266480.132873	graph.facebook.com
1550266480.140907	download.windowsupdate.com
1550266480.142404	ds.download.windowsupdate.com
1550266480.148377	www.update.microsoft.com
1550266480.152505	static.ak.facebook.com
1550266480.152512	s-static.ak.facebook.com
