#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	software
#open	2019-02-15-16-27-02
#fields	ts	host	host_p	software_type	name	version.major	version.minor	version.minor2	version.minor3	version.addl	unparsed_version	o_host	QQ_num	o_host
#types	time	addr	port	enum	string	count	count	count	count	string	string	addr	string	addr
1550266482.349360	10.200.2.252	-	HTTP::BROWSER	Chrome	39	0	2171	95	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	-	-
1550266482.349392	10.200.2.252	-	HTTP::BROWSER	Firefox	31	0	-	-	-	Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0	-	-	-
1550266482.349471	10.200.2.252	-	HTTP::BROWSER	Firefox	33	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0	-	-	-
1550266482.349890	10.200.2.252	-	HTTP::BROWSER	Firefox	31	0	-	-	-	Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0	-	-	-
1550266482.354540	10.200.2.252	-	HTTP::BROWSER	Firefox	34	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0	-	-	-
1550266482.354628	10.200.2.252	-	HTTP::BROWSER	Firefox	33	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0	-	-	-
1550266482.354673	10.200.2.252	-	HTTP::BROWSER	Firefox	31	0	-	-	-	Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0	-	-	-
1550266482.354773	10.200.2.252	-	HTTP::BROWSER	Chrome	35	0	1916	153	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	-	-	-
1550266482.357438	10.200.2.252	-	HTTP::BROWSER	Chrome	37	0	2062	103	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36	-	-	-
1550266482.357499	10.200.2.252	-	HTTP::BROWSER	Chrome	39	0	2171	95	-	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	-	-
